Rank,Domain,Organic Keywords,Organic Traffic,Organic Cost,Adwords Keywords,Adwords Traffic,Adwords Cost
1,wikipedia.org,102390879,2878171595,4213508743.00,8,72,241.00
2,youtube.com,92093159,1043602883,711920904.00,5906,1109509,4040441.00
3,amazon.com,91605591,930472892,690027706.00,1000535,19656546,19625035.00
4,google.com,392182194,574518142,2303593927.00,17211,3558644,60682363.00
5,facebook.com,97518030,565404061,658803443.00,25616,1221518,3580393.00
6,imdb.com,17211346,480252365,725718277.00,642,45766,42267.00
7,yelp.com,35566627,285422708,636910371.00,4215,189854,1171730.00
8,merriam-webster.com,2942992,267839924,290218351.00,82,34364,13801.00
9,pinterest.com,88686773,260758102,145931272.00,1080,165152,198302.00
10,pornhub.com,2809829,231006160,105263207.00,0,0,0.00
11,weather.com,1784968,218478581,27682195.00,8810,14245574,2085667.00
12,fandom.com,15729068,213558638,148604991.00,33,37580,38760.00
13,instagram.com,17605293,212016801,269829516.00,554,23983,109632.00
14,xvideos.com,2969403,206357717,103889874.00,0,0,0.00
15,healthline.com,8651262,201745491,209012587.00,42,3410,13670.00
16,walmart.com,30510948,195742587,122416976.00,98944,5566790,3833335.00
17,tripadvisor.com,27451184,179765317,181336787.00,107193,3445533,3523977.00
18,webmd.com,9752780,153768389,191700064.00,1875,54694,185636.00
19,yahoo.com,20461257,148307825,372360534.00,17152,931646,1702129.00
20,twitter.com,37147399,143789247,136668950.00,60,6739,12881.00
21,apple.com,16118060,141355256,191643329.00,25193,3472984,3471366.00
22,dictionary.com,2688877,140383484,148810885.00,0,0,0.00
23,homedepot.com,9717910,133037787,132135993.00,75862,8041562,6147220.00
24,espn.com,4685082,132672643,195637089.00,3010,212627,448340.00
25,reddit.com,42141039,118271219,97429229.00,4,14,28.00
26,mayoclinic.org,4927566,111977041,116437170.00,751,65692,118954.00
27,ebay.com,41220916,111580504,53892375.00,399684,4268571,4523139.00
28,craigslist.org,4032922,110306019,122191171.00,5,272,448.00
29,etsy.com,17957018,109319700,60069515.00,9496,539300,224994.00
30,xnxx.com,2309963,109101244,48601340.00,0,0,0.00
31,mlb.com,1399477,97766408,60478646.00,1674,1452805,1111726.00
32,cnn.com,12532188,95409995,186014080.00,58,711,2520.00
33,nytimes.com,26659717,92561364,186857791.00,5433,620573,2096858.00
34,rottentomatoes.com,3901415,92289325,177872324.00,0,0,0.00
35,nba.com,1069005,85255436,126317586.00,2473,225011,174154.00
36,target.com,11535509,83047079,59202219.00,131058,2234235,1856213.00
37,medicalnewstoday.com,5704814,81512817,82767484.00,0,0,0.00
38,urbandictionary.com,4001967,79814961,66226058.00,0,0,0.00
39,britannica.com,6004861,78542706,102497966.00,1,1,0.00
40,nih.gov,18655558,70636608,79307690.00,2,6,17.00
41,indeed.com,18486535,68222983,89201237.00,33279,854574,1760567.00
42,genius.com,4499244,68142901,12565994.00,0,0,0.00
43,linkedin.com,37163264,68125084,107333710.00,21935,679936,4663252.00
44,nfl.com,876440,67698719,251738747.00,821,339934,296429.00
45,wiktionary.org,2467286,67357577,82495573.00,0,0,0.00
46,quora.com,28519543,65894516,43480542.00,1,1,0.00
47,bestbuy.com,8219531,62640078,54116876.00,22136,3050636,2480617.00
48,theguardian.com,17689556,61805338,90191380.00,63,136,202.00
49,usatoday.com,12937032,59481977,90570876.00,34,199,4249.00
50,zillow.com,7480943,58837073,21662578.00,42677,1952647,684937.00
51,timeanddate.com,1641024,58453998,75710827.00,0,0,0.00
52,businessinsider.com,16828343,58344926,117964993.00,480,61103,90662.00
53,macys.com,4928139,56847242,52232039.00,19066,2522026,2618515.00
54,cambridge.org,4004127,55009553,50459605.00,11,385,152.00
55,spanishdict.com,1792227,53158687,37075345.00,0,0,0.00
56,wayfair.com,4255678,52051654,47849091.00,94727,4842683,6001188.00
57,netflix.com,2510848,50796117,61279528.00,113,8635,3000.00
58,thesaurus.com,1110175,50467209,24930569.00,0,0,0.00
59,lowes.com,5142392,50143704,42881178.00,34917,3878899,1821872.00
60,allrecipes.com,2255076,49952013,53360743.00,0,0,0.00
61,nike.com,1254183,48812156,63671662.00,17543,3031509,5183498.00
62,spotify.com,9578851,46903428,62651236.00,2894,405257,1727276.00
63,drugs.com,2949882,46842080,74435457.00,0,0,0.00
64,forbes.com,15005395,45758866,75674027.00,688,19172,44662.00
65,foodnetwork.com,2290129,45637198,67588401.00,166,92353,153053.00
66,yourdictionary.com,2568420,44686983,36307414.00,0,0,0.00
67,usnews.com,10461016,42236148,98549611.00,0,0,0.00
68,foxnews.com,4796290,42114253,49809544.00,728,57863,149750.00
69,apartments.com,3986478,41200396,35705543.00,23402,943958,928974.00
70,microsoft.com,9300001,40457209,66051578.00,52445,1326295,9250791.00
71,medicinenet.com,4261235,39707540,42532283.00,0,0,0.00
72,goodhousekeeping.com,5310499,39304325,58792724.00,1870,74415,66158.00
73,investopedia.com,4139422,38123632,108143809.00,0,0,0.00
74,bleacherreport.com,3900015,37241643,48741286.00,187,43877,142387.00
75,cbssports.com,2680629,36429848,63398912.00,27,4013,7622.00
76,xhamster.com,1768684,35667210,71667591.00,0,0,0.00
77,accuweather.com,2351777,34316742,7904835.00,28,123,250.00
78,usps.com,921092,34166922,39534540.00,987,657790,1735799.00
79,expedia.com,7336106,34007472,31309572.00,93918,6887582,7767038.00
80,medlineplus.gov,2754909,34000806,43971615.00,0,0,0.00
81,ca.gov,5701748,33994260,58304803.00,4,5,13.00
82,biography.com,1615162,33135271,58629388.00,0,0,0.00
83,msn.com,11310241,32667296,82057598.00,925,45387,50667.00
84,vocabulary.com,1103678,32560325,30233699.00,0,0,0.00
85,washingtonpost.com,11708755,32449794,40367458.00,503,10286,99580.00
86,bbc.com,9788601,32449000,35068469.00,102,2528,2567.00
87,costco.com,4134862,32292381,25696595.00,128,7863,3057.00
88,cdc.gov,3585669,32286982,34810006.00,1252,24061,44632.00
89,mapquest.com,16985385,31728653,22797079.00,892,10763,26281.00
90,amctheatres.com,806925,31336209,81126706.00,813,310193,395544.00
91,azlyrics.com,2091106,31276282,5405049.00,0,0,0.00
92,huffpost.com,8676644,30661539,51266028.00,1,31631,39855.00
93,basketball-reference.com,360052,30326917,59473772.00,0,0,0.00
94,eater.com,2723073,30315707,58058958.00,0,0,0.00
95,shutterstock.com,7951130,29930734,17882789.00,18109,1503597,1996697.00
96,history.com,2456885,29882890,32949269.00,73,28395,36253.00
97,cargurus.com,3797596,29773659,42466599.00,40211,2015325,3656320.00
98,walgreens.com,3322743,29673223,38506266.00,4786,264441,532084.00
99,fandango.com,1692274,29642651,41730590.00,7913,1223237,2819072.00
100,youporn.com,1226280,29374943,12772245.00,0,0,0.00
101,wellsfargo.com,772257,29351678,54018743.00,9045,214422,1451385.00
102,kohls.com,3613575,29204354,17118294.00,28056,1696224,1375195.00
103,carfax.com,2031948,29086100,39352899.00,3432,293055,359971.00
104,wikihow.com,9003873,28978532,29536117.00,0,0,0.00
105,cnet.com,11525257,28638887,44199778.00,8299,161304,663582.00
106,nhl.com,673345,28623072,48515215.00,2354,46608,61444.00
107,hotels.com,3678995,28452746,45460238.00,66852,4330992,7212919.00
108,akc.org,851505,27580452,31652906.00,13,5868,5956.00
109,npr.org,8377535,27485043,43768953.00,146,77748,126999.00
110,irs.gov,1524128,27377143,74732615.00,32,654,1434.00
111,att.com,2280720,27241077,65219669.00,27222,1699576,4643384.00
112,collinsdictionary.com,1915189,26940915,17828925.00,0,0,0.00
113,marketwatch.com,5605712,26910075,103269688.00,6,6,0.00
114,groupon.com,10842086,26257303,53530817.00,13884,480701,1141216.00
115,delish.com,1668500,26240820,33025727.00,277,27344,16530.00
116,verizonwireless.com,2041939,25949976,63518875.00,21292,1789823,5670197.00
117,cheatsheet.com,3504164,25906183,61665972.00,0,0,0.00
118,cvs.com,2559053,25871691,25808923.00,91,647,1000.00
119,techradar.com,4815762,25687551,46941917.00,102,2494,975.00
120,office.com,1545439,25453630,39294541.00,7574,312967,758149.00
121,nypost.com,5790424,25385705,45334249.00,0,0,0.00
122,kbb.com,2303050,24793170,30400504.00,14952,823514,1441299.00
123,goodreads.com,8393137,24258868,18580613.00,1,253,144.00
124,bankofamerica.com,925055,24222028,38291078.00,12517,1567861,1927989.00
125,cosmopolitan.com,3765875,24189082,29043777.00,169,7622,7172.00
126,nordstrom.com,2754765,24112600,18266867.00,4604,555439,296118.00
127,dickssportinggoods.com,2258026,23940906,15991420.00,7589,793770,473370.00
128,dominos.com,423040,23788229,24221120.00,7362,713151,1183246.00
